fecha,barrio,formacion,total,mujer,varon
"2021-01-01","Centro","FP2 Grado Superior","1502","632","870"
"2021-01-01","Centro","B.Superior.BUP,COU","4261","2137","2124"
"2021-01-01","Centro","Otras titulaciones medias","459","303","156"
"2021-01-01","Centro","Diplomados","647","455","192"
"2021-01-01","Centro","Arquitecto, Ingeniero Tec","193","65","128"
"2021-01-01","Centro","Licenciado Universitario","2998","1740","1258"
"2021-01-01","Centro","Estudios superiores no Un","64","36","28"
"2021-01-01","Centro","Doctorado Postgrado","588","311","277"
"2021-01-01","Centro","Valor Desconocido","68","35","33"
"2021-01-01","El Bercial","Menores de 16","5229","2531","2698"
"2021-01-01","El Bercial","No sabe leer ni escribir","36","25","11"
"2021-01-01","El Bercial","Sin Estudios","478","294","184"
"2021-01-01","El Bercial","Enseñanza Primaria incomp","1334","705","629"
"2021-01-01","El Bercial","Enseñanza Secundaria","3421","1592","1829"
"2021-01-01","El Bercial","FP1 Grado Medio","970","430","540"
"2021-01-01","El Bercial","FP2 Grado Superior","1225","468","757"
"2021-01-01","El Bercial","B.Superior.BUP,COU","2406","1219","1187"
"2021-01-01","El Bercial","Otras titulaciones medias","174","101","73"
"2021-01-01","El Bercial","Diplomados","793","554","239"
"2021-01-01","El Bercial","Arquitecto, Ingeniero Tec","266","71","195"
"2021-01-01","El Bercial","Licenciado Universitario","2300","1329","971"
"2021-01-01","El Bercial","Estudios superiores no Un","59","27","32"
"2021-01-01","El Bercial","Doctorado Postgrado","482","273","209"
"2021-01-01","El Bercial","Valor Desconocido","14","3","11"
"2021-01-01","Getafe-Norte","Menores de 16","3176","1516","1660"
"2021-01-01","Getafe-Norte","No sabe leer ni escribir","69","39","30"
"2021-01-01","Getafe-Norte","Sin Estudios","630","367","263"
"2021-01-01","Getafe-Norte","Enseñanza Primaria incomp","1815","1006","809"
"2021-01-01","Getafe-Norte","Enseñanza Secundaria","4248","2042","2206"
"2021-01-01","Getafe-Norte","FP1 Grado Medio","1234","572","662"
"2021-01-01","Getafe-Norte","FP2 Grado Superior","1392","583","809"
"2021-01-01","Getafe-Norte","B.Superior.BUP,COU","2811","1488","1323"
"2021-01-01","Getafe-Norte","Otras titulaciones medias","228","136","92"
"2021-01-01","Getafe-Norte","Diplomados","472","348","124"
"2021-01-01","Getafe-Norte","Arquitecto, Ingeniero Tec","126","31","95"
"2021-01-01","Getafe-Norte","Licenciado Universitario","2133","1197","936"
"2021-01-01","Getafe-Norte","Estudios superiores no Un","15","6","9"
"2021-01-01","Getafe-Norte","Doctorado Postgrado","391","221","170"
"2021-01-01","Getafe-Norte","Valor Desconocido","38","11","27"
"2021-01-01","Juan de la Cierva","Menores de 16","4076","1959","2117"
"2021-01-01","Juan de la Cierva","No sabe leer ni escribir","169","120","49"
"2021-01-01","Juan de la Cierva","Sin Estudios","2196","1346","850"
"2021-01-01","Juan de la Cierva","Enseñanza Primaria incomp","5248","2896","2352"
"2021-01-01","Juan de la Cierva","Enseñanza Secundaria","7626","3791","3835"
"2021-01-01","Juan de la Cierva","FP1 Grado Medio","1612","725","887"
"2021-01-01","Juan de la Cierva","FP2 Grado Superior","1263","519","744"
"2021-01-01","Juan de la Cierva","B.Superior.BUP,COU","3197","1659","1538"
"2021-01-01","Juan de la Cierva","Otras titulaciones medias","265","171","94"
"2021-01-01","Juan de la Cierva","Diplomados","373","271","102"
"2021-01-01","Juan de la Cierva","Arquitecto, Ingeniero Tec","115","25","90"
"2021-01-01","Juan de la Cierva","Licenciado Universitario","1614","946","668"
"2021-01-01","Juan de la Cierva","Estudios superiores no Un","40","21","19"
"2021-01-01","Juan de la Cierva","Doctorado Postgrado","303","173","130"
"2021-01-01","Juan de la Cierva","Valor Desconocido","73","31","42"
"2021-01-01","La Alhóndiga","Menores de 16","3874","1816","2058"
"2021-01-01","La Alhóndiga","No sabe leer ni escribir","124","94","30"
"2021-01-01","La Alhóndiga","Sin Estudios","1640","1024","616"
"2021-01-01","La Alhóndiga","Enseñanza Primaria incomp","3454","1873","1581"
"2021-01-01","La Alhóndiga","Enseñanza Secundaria","5421","2619","2802"
"2021-01-01","La Alhóndiga","FP1 Grado Medio","1238","572","666"
"2021-01-01","La Alhóndiga","FP2 Grado Superior","1146","484","662"
"2021-01-01","La Alhóndiga","B.Superior.BUP,COU","2768","1460","1308"
"2021-01-01","La Alhóndiga","Otras titulaciones medias","190","119","71"
"2021-01-01","La Alhóndiga","Diplomados","478","341","137"
"2021-01-01","La Alhóndiga","Arquitecto, Ingeniero Tec","152","42","110"
"2021-01-01","La Alhóndiga","Licenciado Universitario","1716","1010","706"
"2021-01-01","La Alhóndiga","Estudios superiores no Un","41","17","24"
"2021-01-01","La Alhóndiga","Doctorado Postgrado","361","209","152"
"2021-01-01","La Alhóndiga","Valor Desconocido","27","10","17"
"2021-01-01","Las Margaritas","Menores de 16","1938","936","1002"
"2021-01-01","Las Margaritas","No sabe leer ni escribir","72","48","24"
"2021-01-01","Las Margaritas","Sin Estudios","816","504","312"
"2021-01-01","Las Margaritas","Enseñanza Primaria incomp","1585","853","732"
"2021-01-01","Las Margaritas","Enseñanza Secundaria","2818","1366","1452"
"2021-01-01","Las Margaritas","FP1 Grado Medio","543","258","285"
"2021-01-01","Las Margaritas","FP2 Grado Superior","467","175","292"
"2021-01-01","Las Margaritas","B.Superior.BUP,COU","1452","730","722"
"2021-01-01","Las Margaritas","Otras titulaciones medias","89","68","21"
"2021-01-01","Las Margaritas","Diplomados","228","163","65"
"2021-01-01","Las Margaritas","Arquitecto, Ingeniero Tec","81","26","55"
"2021-01-01","Las Margaritas","Licenciado Universitario","1066","630","436"
"2021-01-01","Las Margaritas","Estudios superiores no Un","31","16","15"
"2021-01-01","Las Margaritas","Doctorado Postgrado","230","134","96"
"2021-01-01","Las Margaritas","Valor Desconocido","19","14","5"
"2021-01-01","Los Molinos","Menores de 16","2912","1385","1527"
"2021-01-01","Los Molinos","No sabe leer ni escribir","2","2",
"2021-01-01","Los Molinos","Sin Estudios","66","30","36"
"2021-01-01","Los Molinos","Enseñanza Primaria incomp","254","121","133"
"2021-01-01","Los Molinos","Enseñanza Secundaria","1309","530","779"
"2021-01-01","Los Molinos","FP1 Grado Medio","740","301","439"
"2021-01-01","Los Molinos","FP2 Grado Superior","896","354","542"
"2021-01-01","Los Molinos","B.Superior.BUP,COU","1080","486","594"
"2021-01-01","Los Molinos","Otras titulaciones medias","87","52","35"
"2021-01-01","Los Molinos","Diplomados","672","491","181"
"2021-01-01","Los Molinos","Arquitecto, Ingeniero Tec","280","66","214"
"2021-01-01","Los Molinos","Licenciado Universitario","1577","954","623"
"2021-01-01","Los Molinos","Estudios superiores no Un","51","27","24"
"2021-01-01","Los Molinos","Doctorado Postgrado","403","249","154"
"2021-01-01","Perales del Rio","Menores de 16","2168","1017","1151"
"2021-01-01","Perales del Rio","No sabe leer ni escribir","42","27","15"
"2021-01-01","Perales del Rio","Sin Estudios","243","135","108"
"2021-01-01","Perales del Rio","Enseñanza Primaria incomp","890","451","439"
"2021-01-01","Perales del Rio","Enseñanza Secundaria","2146","1053","1093"
"2021-01-01","Perales del Rio","FP1 Grado Medio","586","277","309"
"2021-01-01","Perales del Rio","FP2 Grado Superior","657","274","383"
